id,title,first_author,authors,year,primary_area,subcategory,discovery_topics,venue_from_source,journal_reference_from_source,arxiv_id,doi,opened_url,verification_status,review_decision,review_note,review_level,full_text_review,opened_at_utc,evidence_json,discovery_urls,metadata_correction_note
P0001,Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning,"Wang, Zhaoyang","Wang, Zhaoyang | Xu, Canwen | Liu, Boyi | Wang, Yite | Han, Siwei | Yao, Zhewei | Yao, Huaxiu | He, Yuxiong",2026,Environment,世界模型与模拟器,Environment synthesis/generation/executable task construction,arXiv (preprint repository; acceptance not inferred),,2602.10090,,https://arxiv.org/abs/2602.10090,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:52:14.898289+00:00,evidence/ebcaae986ad6b3ecee71.json,https://arxiv.org/html/2606.12191v1,
P0002,EvolvingWorld: An Open-Schema Framework for Co-Evolving Role-Play Agents and World Model in Interactive Literary World,"Zong, Qing","Zong, Qing | Guo, Yue | Yang, Mengxin | Guo, Yiwen | Song, Yangqiu",2026,Environment,世界模型与模拟器,Open-ended learning/procedural environment evolution,arXiv (preprint repository; acceptance not inferred),,2607.17250,,https://arxiv.org/abs/2607.17250,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:59.643080+00:00,evidence/0282e0750b49a70bcb5f.json,https://github.com/zongqing0068/awesome-co-evolution,
P0003,MobileDreamer: Generative Sketch World Model for GUI Agent,"Cao, Yilin","Cao, Yilin | Zhong, Yufeng | Zeng, Zhixiong | Dai, Siran | Zheng, Liming | Huang, Jing | Qiu, Haibo | Shi, Peng | Mao, Wenji",2026,Environment,世界模型与模拟器,Interactive world models/neural simulators,arXiv (preprint repository; acceptance not inferred),,2601.04035,,https://arxiv.org/abs/2601.04035,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:44.325998+00:00,evidence/c5691a0a2200c6e5421b.json,https://arxiv.org/html/2606.12191v1,
P0004,SWE-World: Building Software Engineering Agents in Docker-Free Environments,"Sun, Shuang","Sun, Shuang | Song, Huatong | Huang, Lisheng | Jiang, Jinhao | Le, Ran | Lv, Zhihao | Chen, Zongchao | Hu, Yiwen | Luo, Wenyang | Zhao, Wayne Xin | Song, Yang | Xu, Hongteng | Zhang, Tao | Wen, Ji-Rong",2026,Environment,世界模型与模拟器,Interactive world models/neural simulators,arXiv (preprint repository; acceptance not inferred),,2602.03419,,https://arxiv.org/abs/2602.03419,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:46.887222+00:00,evidence/7dd7f599589458ad4f1c.json,https://arxiv.org/html/2606.12191v1,
P0005,WebWorld: A Large-Scale World Model for Web Agent Training,"Xiao, Zikai","Xiao, Zikai | Tu, Jianhong | Zou, Chuhang | Zuo, Yuxin | Li, Zhi | Wang, Peng | Yu, Bowen | Huang, Fei | Lin, Junyang | Liu, Zuozhu",2026,Environment,世界模型与模拟器,Environment evolution/curriculum/unsupervised environment design,arXiv (preprint repository; acceptance not inferred),,2602.14721,,https://arxiv.org/abs/2602.14721,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:48.645155+00:00,evidence/2ed1751534e03c0d5ad8.json,https://arxiv.org/html/2606.12191v1,
P0006,World of Workflows: A Benchmark for Bringing World Models to Enterprise Systems,"Gupta, Lakshya","Gupta, Lakshya | Li, Litao | Liu, Yizhe | Subramanian, Sriram Ganapathi | Suleman, Kaheer | Zhang, Zichen | Lu, Haoye | Pasupalak, Sumit",2026,Environment,世界模型与模拟器,Interactive agent benchmarks/tool/code/enterprise environments,arXiv (preprint repository; acceptance not inferred),,2601.22130,,https://arxiv.org/abs/2601.22130,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:24.118128+00:00,evidence/cc28c7ef95968449e3ec.json,https://arxiv.org/html/2606.12191v1,
P0007,Agent2World: Learning to Generate Symbolic World Models via Adaptive Multi-Agent Feedback,"Hu, Mengkang","Hu, Mengkang | Xia, Bowei | Wu, Yuran | Yu, Ailing | Zou, Yude | Chen, Qiguang | Wang, Shijian | Jin, Jiarui | Li, Kexin | Jiao, Wenxiang | Lu, Yuan | Luo, Ping",2025,Environment,世界模型与模拟器,Environment synthesis/generation/executable task construction,arXiv (preprint repository; acceptance not inferred),,2512.22336,,https://arxiv.org/abs/2512.22336,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:24.351360+00:00,evidence/dc6aadd4c946fc80a1aa.json,https://arxiv.org/html/2606.12191v1,
P0008,Empowering World Models with Reflection for Embodied Video Prediction,Xiaowei Chi,Xiaowei Chi | Chun-Kai Fan | Hengyuan Zhang | Xingqun Qi | Rongyu Zhang | Anthony Chen | Chi-Min Chan | Wei Xue | Qifeng Liu | Shanghang Zhang | Yike Guo,2025,Environment,世界模型与模拟器,Interactive world models/neural simulators,International Conference on Machine Learning,,,,https://proceedings.mlr.press/v267/chi25b.html,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:37.555258+00:00,evidence/fb789fc78f7d417770bc.json,https://arxiv.org/html/2606.12191v1,
P0009,EvolvingAgent: Curriculum Self-evolving Agent with Continual World Model for Long-Horizon Tasks,"Feng, Tongtong","Feng, Tongtong | Wang, Xin | Zhou, Zekai | Wang, Ren | Zhan, Yuwei | Li, Guangyao | Li, Qing | Zhu, Wenwu",2025,Environment,世界模型与模拟器,Open-ended learning/procedural environment evolution,arXiv (preprint repository; acceptance not inferred),,2502.05907,,https://arxiv.org/abs/2502.05907,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:55:00.145671+00:00,evidence/7ced0a82edb50c4a3fd8.json,https://github.com/zongqing0068/awesome-co-evolution,
P0010,GTM: Simulating the World of Tools for AI Agents,"Ren, Zhenzhen","Ren, Zhenzhen | Zhang, Xinpeng | Qian, Zhenxing | Gao, Yan | Shi, Yu | Zheng, Shuxin | He, Jiyan",2025,Environment,世界模型与模拟器,Interactive world models/neural simulators,arXiv (preprint repository; acceptance not inferred),,2512.04535,,https://arxiv.org/abs/2512.04535,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:45.378509+00:00,evidence/ba9da90bbd211d617a5c.json,https://arxiv.org/html/2606.12191v1,
P0011,MCP-Universe: Benchmarking Large Language Models with Real-World Model Context Protocol Servers,"Luo, Ziyang","Luo, Ziyang | Shen, Zhiqi | Yang, Wenzhuo | Zhao, Zirui | Jwalapuram, Prathyusha | Saha, Amrita | Sahoo, Doyen | Savarese, Silvio | Xiong, Caiming | Li, Junnan",2025,Environment,世界模型与模拟器,Interactive agent benchmarks/tool/code/enterprise environments,arXiv (preprint repository; acceptance not inferred),,2508.14704,,https://arxiv.org/abs/2508.14704,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:10.901118+00:00,evidence/bfa769034286bc66cb9d.json,https://arxiv.org/html/2606.12191v1,
P0012,R-WoM: Retrieval-augmented World Model For Computer-use Agents,"Mei, Kai","Mei, Kai | Guo, Jiang | Chang, Shuaichen | Dong, Mingwen | Lee, Dongkyu | Niu, Xing | Jiang, Jiarong",2025,Environment,世界模型与模拟器,Interactive world models/neural simulators,arXiv (preprint repository; acceptance not inferred),,2510.11892,,https://arxiv.org/abs/2510.11892,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:43.259822+00:00,evidence/06d00116f2961def0088.json,https://arxiv.org/html/2606.12191v1,
P0013,Simulating Environments with Reasoning Models for Agent Training,"Li, Yuetai","Li, Yuetai | Inan, Huseyin A | Yue, Xiang | Chen, Wei-Ning | Wutschitz, Lukas | Kulkarni, Janardhan | Poovendran, Radha | Sim, Robert | Rajmohan, Saravan",2025,Environment,世界模型与模拟器,Interactive world models/neural simulators,arXiv (preprint repository; acceptance not inferred),,2511.01824,,https://arxiv.org/abs/2511.01824,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:44.721132+00:00,evidence/62c625373898c6aab681.json,https://arxiv.org/html/2606.12191v1,
P0014,Text2World: Benchmarking Large Language Models for Symbolic World Model Generation,Mengkang Hu,Mengkang Hu | Tianxing Chen | Yude Zou | Yuheng Lei | Qiguang Chen (陈麒光) | Ming Li | Yao Mu | Hongyuan Zhang | Wenqi Shao | Ping Luo,2025,Environment,世界模型与模拟器,Environment synthesis/generation/executable task construction,Findings of the Association for Computational Linguistics: ACL 2025,,,10.18653/v1/2025.findings-acl.1337,https://aclanthology.org/2025.findings-acl.1337/,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:24.578647+00:00,evidence/2d883dc5a17e2921239a.json,https://arxiv.org/html/2606.12191v1,
P0015,ViMo: A Generative Visual GUI World Model for App Agents,"Luo, Dezhao","Luo, Dezhao | Tang, Bohan | Li, Kang | Papoudakis, Georgios | Song, Jifei | Gong, Shaogang | Hao, Jianye | Wang, Jun | Shao, Kun",2025,Environment,世界模型与模拟器,Interactive world models/neural simulators,arXiv (preprint repository; acceptance not inferred),,2504.13936,,https://arxiv.org/abs/2504.13936,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:38.347001+00:00,evidence/5d1a6979891ce9125108.json,https://arxiv.org/html/2606.12191v1,
P0016,WebEvolver: Enhancing Web Agent Self-Improvement with Co-evolving World Model,Tianqing Fang,Tianqing Fang | Hongming Zhang | Zhisong Zhang | Kaixin Ma | Wenhao Yu | Haitao Mi | Dong Yu (于东),2025,Environment,世界模型与模拟器,Interactive world models/neural simulators,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,,10.18653/v1/2025.emnlp-main.454,https://aclanthology.org/2025.emnlp-main.454/,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:01.004341+00:00,evidence/70035cd6a654fe8fba36.json,https://arxiv.org/html/2606.12191v1,
P0017,Genie: Generative Interactive Environments,"Bruce, Jake","Bruce, Jake | Dennis, Michael | Edwards, Ashley | Parker-Holder, Jack | Shi, Yuge | Hughes, Edward | Lai, Matthew | Mavalankar, Aditi | Steigerwald, Richie | Apps, Chris | Aytar, Yusuf | Bechtle, Sarah | Behbahani, Feryal | Chan, Stephanie | Heess, Nicolas | Gonzalez, Lucy | Osindero, Simon | Ozair, Sherjil | Reed, Scott | Zhang, Jingwei | Zolna, Konrad | Clune, Jeff | de Freitas, Nando | Singh, Satinder | Rocktäschel, Tim",2024,Environment,世界模型与模拟器,Interactive world models/neural simulators | 机器人与世界模型,arXiv (preprint repository; acceptance not inferred),,2402.15391,,https://arxiv.org/abs/2402.15391,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:48.429206+00:00,evidence/9abc4cf2e547a5169329.json,https://github.com/journee-live/awesome-world-models | local:环境坐标空间-综述与提案-v3.0.md#reference-72,
P0018,Mastering Diverse Domains through World Models,"Hafner, Danijar","Hafner, Danijar | Pasukonis, Jurgis | Ba, Jimmy | Lillicrap, Timothy",2023,Environment,世界模型与模拟器,机器人与世界模型,arXiv (preprint repository; acceptance not inferred),,2301.04104,,https://arxiv.org/abs/2301.04104,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:55:18.984278+00:00,evidence/2969433d69fc1f4a0387.json,local:环境坐标空间-综述与提案-v3.0.md#reference-71,
P0019,World Models,"Ha, David","Ha, David | Schmidhuber, Jürgen",2018,Environment,世界模型与模拟器,Interactive world models/neural simulators | 机器人与世界模型,arXiv (preprint repository; acceptance not inferred),,1803.10122,10.5281/zenodo.1207631,https://arxiv.org/abs/1803.10122,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:47.315004+00:00,evidence/21d0184555d4490bff49.json,https://github.com/journee-live/awesome-world-models | local:环境坐标空间-综述与提案-v3.0.md#reference-70,
P0020,AgencyBench: Benchmarking the Frontiers of Autonomous Agents in 1M-Token Real-World Contexts,"Li, Keyu","Li, Keyu | Shi, Junhao | Xiao, Yang | Jiang, Mohan | Sun, Jie | Wu, Yunze | Fu, Dayuan | Xia, Shijie | Cai, Xiaojie | Xu, Tianze | Si, Weiye | Li, Wenjie | Wang, Dequan | Liu, Pengfei",2026,Environment,交互环境与评测基准,Interactive agent benchmarks/tool/code/enterprise environments,arXiv (preprint repository; acceptance not inferred),,2601.11044,,https://arxiv.org/abs/2601.11044,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:27.653997+00:00,evidence/3aa137507c03f596cd71.json,https://arxiv.org/html/2606.12191v1,
P0021,AgentVista: Evaluating Multimodal Agents in Ultra-Challenging Realistic Visual Scenarios,"Su, Zhaochen","Su, Zhaochen | Gao, Jincheng | Guo, Hangyu | Liu, Zhenhua | Zhang, Lueyang | Geng, Xinyu | Huang, Shijue | Xia, Peng | Jiang, Guanyu | Wang, Cheng | Zhang, Yue | Fung, Yi R. | He, Junxian",2026,Environment,交互环境与评测基准,Interactive agent benchmarks/tool/code/enterprise environments,arXiv (preprint repository; acceptance not inferred),,2602.23166,,https://arxiv.org/abs/2602.23166,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:28.279982+00:00,evidence/c750377b28dceec04556.json,https://arxiv.org/html/2606.12191v1,
P0022,BioAgent Bench: An AI Agent Evaluation Suite for Bioinformatics,"Fa, Dionizije","Fa, Dionizije | Culjak, Marko | Pandza, Bruno | Cupic, Mateo",2026,Environment,交互环境与评测基准,Interactive agent benchmarks/tool/code/enterprise environments,arXiv (preprint repository; acceptance not inferred),,2601.21800,,https://arxiv.org/abs/2601.21800,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:53:16.902584+00:00,evidence/873a0e9a504087969e26.json,https://arxiv.org/html/2606.12191v1,
P0023,CLI-Gym: Scalable CLI Task Generation via Agentic Environment Inversion,"Lin, Yusong","Lin, Yusong | Wang, Haiyang | Wu, Shuzhe | Fan, Lue | Pan, Feiyang | Zhao, Sanyuan | Tu, Dandan",2026,Environment,交互环境与评测基准,Environment synthesis/generation/executable task construction,arXiv (preprint repository; acceptance not inferred),,2602.10999,,https://arxiv.org/abs/2602.10999,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:34.782971+00:00,evidence/27f55c3ce236819a98f8.json,https://arxiv.org/html/2606.12191v1,
P0024,Claw-Eval: Towards Trustworthy Evaluation of Autonomous Agents,"Ye, Bowen","Ye, Bowen | Li, Rang | Yang, Qibin | Liu, Yuanxin | Yao, Linli | Lv, Hanglong | Xie, Zhihui | An, Chenxin | Li, Lei | Kong, Lingpeng | Liu, Qi | Sui, Zhifang | Yang, Tong",2026,Environment,交互环境与评测基准,Interactive agent benchmarks/tool/code/enterprise environments,arXiv (preprint repository; acceptance not inferred),,2604.06132,,https://arxiv.org/abs/2604.06132,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:24.363591+00:00,evidence/f7f2e281af036cd846a2.json,https://arxiv.org/html/2606.12191v1,
P0025,ClawArena: Benchmarking AI Agents in Evolving Information Environments,"Ji, Haonian","Ji, Haonian | Xiong, Kaiwen | Han, Siwei | Xia, Peng | Qiu, Shi | Zhou, Yiyang | Liu, Jiaqi | Li, Jinlong | Li, Bingzhou | Zheng, Zeyu | Xie, Cihang | Yao, Huaxiu",2026,Environment,交互环境与评测基准,Interactive agent benchmarks/tool/code/enterprise environments,arXiv (preprint repository; acceptance not inferred),,2604.04202,,https://arxiv.org/abs/2604.04202,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:25.041384+00:00,evidence/8da5e42e88952b2bc6af.json,https://arxiv.org/html/2606.12191v1,
P0026,DeepSeek Elastic Compute (DSec): A Sandbox Infrastructure for Effective Agentic Training at Scale,"Huang, Jialiang","Huang, Jialiang | Tang, Hongxuan | Chen, Jingchang | Liu, Yuxuan | Chen, Yixiao | Cheng, Yuan | Tao, Yi | Zhou, Jingli | Chen, Yupeng | Chen, Haoyu | Wang, Jiarui | Lin, Shengkai | Zhang, Chuqi | Teng, Bryan Lee | Guo, Lian | Fu, Zhe | Gao, Wenjun | Wang, Yisong | Zhao, Liang | Wang, Zehao | Xie, Ziwei | Guo, Yongqiang | Cong, Peixin | Gao, Ziyi | Yu, Shuiping | Xu, Hanwei | Wu, Zuofan | Ren, Zhizhou | Zhou, Yuyang | Zhang, Bowei | Huang, Zhihuan | Zhu, Qihao | Wang, Lei | Lin, Tianle | Yu, Han | Hu, Jiewen | Yang, Dejian | Yang, Shuo | Lu, Shanghao | Chen, Shaoyuan | Qiu, Junjie | Sha, Zhangli | Zhong, Yinmin | Wu, Yongtong | Wang, Shiyu | Liu, Wei | Xu, Bingzheng | Chen, Longhao | Du, Qiushi | Huang, Yuzhen | Ma, Shirong | Wang, Yaohui | Chen, Mingshu | Xiong, Tongrui | Yan, Y. C. | Luo, Haowen | Liang, Haofen | Zhang, Xiaokang | Zeng, Weihao | Xu, Runxin | Wang, Peiyi | Zhu, Jinhua | Zhang, Ruoyu | Yang, Wenkai | Tang, Qi | Yu, Jiping | Ye, Tian | Pan, Ruizhe | Ding, Honghui | Liu, Xiaodong | Luo, Lingxiao | Shao, Zhihong | Wu, Yuhan | Lu, Jibai | Liu, Wen | Zhang, Haoling | Hu, Jingcheng | Ye, Yaoyang | Lin, Chaofan | Zhang, Zhaochen | Tong, Jianan | Wu, Hengxu | Li, Zhihao | Wang, Yicheng | Wang, Luyao | Bai, Yuzhuo | Fu, Lingyue | Xu, Ruifan | Wang, Y. Z. | Li, Zonglin | Wei, Mingqi | Shen, Haiyang | Zhang, Chengyuan | Jin, Chao | Zhang, Zili | Yang, R. H. | Xu, Xinbo | Zhou, Jian | Zhu, Ruidong | Guo, Yuzhe | Pan, Zelun | Nie, Shaoheng | Li, Erhang | Lin, Shuhan | Liu, Zheng | Chen, Anshuo | Lyu, Zilong | Cao, Sinuo | Yu, Rui | Wang, Chuhao | Guo, Junyi | Song, Junxiao | Chen, Kaifeng | Ye, Menghao | Li, Junxian | Wu, Di | Ma, Haiyang | Wang, Yilun | Yang, Haoran | Cai, Yizai | Liu, Shichun | Wang, Yiping | Sun, Junbo | Xu, Shicheng | Bi, Xiao | He, Ying | Zhang, Yichao | Zhang, Mingxing | Zhang, Liyue | Huang, Panpan | Liang, Wenfeng",2026,Environment,交互环境与评测基准,RL 基础设施与产业,arXiv (preprint repository; acceptance not inferred),,2609.22978,,https://arxiv.org/abs/2609.22978,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:55:08.649440+00:00,evidence/e21b1a157dc5cfe4be4b.json,local:环境坐标空间-综述与提案-v3.0.md#reference-19,
P0027,EnterpriseOps-Gym: Environments and Evaluations for Stateful Agentic Planning and Tool Use in Enterprise Settings,"Malay, Shiva Krishna Reddy","Malay, Shiva Krishna Reddy | Nayak, Shravan | Nair, Jishnu Sethumadhavan | Davasam, Sagar | Tiwari, Aman | Madhusudhan, Sathwik Tejaswi | Nemala, Sridhar Krishna | Sunkara, Srinivas | Rajeswar, Sai",2026,Environment,交互环境与评测基准,Interactive agent benchmarks/tool/code/enterprise environments,arXiv (preprint repository; acceptance not inferred),,2603.13594,,https://arxiv.org/abs/2603.13594,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T06:02:38.690948+00:00,evidence/5aeca15a1dff2ee8cf61.json,https://arxiv.org/abs/2603.13594,
P0028,GameDevBench: Evaluating Agentic Capabilities Through Game Development,"Chi, Wayne","Chi, Wayne | Fang, Yixiong | Yayavaram, Arnav | Yayavaram, Siddharth | Karten, Seth | Wei, Qiuhong Anna | Chen, Runkun | Wang, Alexander | Chen, Valerie | Talwalkar, Ameet | Donahue, Chris",2026,Environment,交互环境与评测基准,Environment synthesis/generation/executable task construction,arXiv (preprint repository; acceptance not inferred),,2602.11103,,https://arxiv.org/abs/2602.11103,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:36.749766+00:00,evidence/44f3ad505bee7a5c25a6.json,https://arxiv.org/html/2606.12191v1,
P0029,Hybrid-Gym: Training Coding Agents to Generalize Across Tasks,"Xie, Yiqing","Xie, Yiqing | Liu, Emmy | Zhang, Gaokai | Kotalwar, Nachiket | Gandhi, Shubham | Acharya, Sathwik | Wang, Xingyao | Rose, Carolyn | Neubig, Graham | Fried, Daniel",2026,Environment,交互环境与评测基准,Environment synthesis/generation/executable task construction,arXiv (preprint repository; acceptance not inferred),,2602.16819,,https://arxiv.org/abs/2602.16819,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:54:40.634273+00:00,evidence/0ec71b67df0825c472fc.json,https://arxiv.org/html/2606.12191v1,
P0030,MAS-Orchestra: Understanding and Improving Multi-Agent Reasoning Through Holistic Orchestration and Controlled Benchmarks,"Ke, Zixuan","Ke, Zixuan | Ming, Yifei | Xu, Austin | Chin, Ryan | Nguyen, Xuan-Phi | Jwalapuram, Prathyusha | Wang, Jiayu | Yavuz, Semih | Xiong, Caiming | Joty, Shafiq",2026,Environment,交互环境与评测基准,multi_agent_coordination,arXiv (preprint repository; acceptance not inferred),,2601.14652,,https://arxiv.org/abs/2601.14652,verified_metadata,keep_relevant,摘要讨论代理间角色、通信、协作、编排或故障，可用于多代理控制层分类。,AI-assisted title and abstract review; not full text,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T06:03:51.841498+00:00,evidence/282b41b9db85ae7072d6.json,https://github.com/js-lee-AI/awesome-llm-agent-papers,
P0031,MMDeepResearch-Bench: A Benchmark for Multimodal Deep Research Agents,"Huang, Peizhou","Huang, Peizhou | Zhong, Zixuan | Wan, Zhongwei | Zhou, Donghao | Alam, Samiul | Wang, Xin | Li, Zexin | Dou, Zhihao | Zhu, Li | Xiong, Jing | Tao, Chaofan | Xu, Yan | Dimitriadis, Dimitrios | Zhang, Tuo | Zhang, Mi",2026,Environment,交互环境与评测基准,Research/search interactive environments,arXiv (preprint repository; acceptance not inferred),,2601.12346,,https://arxiv.org/abs/2601.12346,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:52:37.241675+00:00,evidence/1f20bf250c47cbc4222d.json,https://arxiv.org/html/2606.12191v1,
P0032,MacArena: Benchmarking Computer Use Agents on an Online macOS Environment,"Muryn, Victor","Muryn, Victor | Shamrai, Maksym | Mazepa, Sofiia | Khodysko, Yehor",2026,Environment,交互环境与评测基准,Agent benchmark,arXiv (preprint repository; acceptance not inferred),,2606.06560,,https://arxiv.org/abs/2606.06560,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:55:07.428317+00:00,evidence/4005f6e78840f34cc730.json,local:环境坐标空间-综述与提案-v3.0.md#reference-17,
P0033,OmniGAIA: Towards Native Omni-Modal AI Agents,"Li, Xiaoxi","Li, Xiaoxi | Jiao, Wenxiang | Jin, Jiarui | Li, Haoxuan | Wang, Hao | Wang, Shijian | Dong, Guanting | Jin, Jiajie | Wang, Yinuo | Lu, Yuan | Wen, Ji-Rong | Dou, Zhicheng | Lin, Zhouchen",2026,Environment,交互环境与评测基准,Research/search interactive environments,arXiv (preprint repository; acceptance not inferred),,2602.22897,,https://arxiv.org/abs/2602.22897,verified_metadata,bibliographic_screening,按发现源主题与题名归类；具体环境因素及结论待全文编码。,Source metadata verification and topic screening,未完成全文逐篇核验；不据书目初筛推断环境因素或实验结论,2026-09-24T05:52:39.695006+00:00,evidence/aba83518c682706f6a1d.json,https://arxiv.org/html/2606.12191v1,
