title,first_author,year,primary_area,subcategory,opened_url,evidence_json
AgentGym: Evolving Large Language Model-based Agents across Diverse Environments,"Xi, Zhiheng",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2406.04151,evidence/2e1e4e6d9859935bf5b3.json
AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,"Andriushchenko, Maksym",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2410.09024,evidence/9d3771ee05215ce0e910.json
Attacking Vision-Language Computer Agents via Pop-ups,"Zhang, Yanzhe",2024,Environment,环境变化与鲁棒性,https://arxiv.org/abs/2411.02391,evidence/830812a7f9ec87422bf1.json
BALROG: Benchmarking Agentic LLM and VLM Reasoning On Games,"Paglieri, Davide",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2411.13543,evidence/5f0d06748b80d31b4a81.json
Baba Is AI: Break the Rules to Beat the Benchmark,"Cloos, Nathan",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2407.13729,evidence/8446e360ee88b620a0c5.json
Benchmarking Data Science Agents,Yuge Zhang,2024,Environment,交互环境与评测基准,https://aclanthology.org/2024.acl-long.308/,evidence/93b318bef41489dcd161.json
Benchmarking Mobile Device Control Agents across Diverse Configurations,"Lee, Juyong",2024,Environment,环境变化与鲁棒性,https://arxiv.org/abs/2404.16660,evidence/c19a027f6996c2cd572b.json
Caution for the Environment: Multimodal LLM Agents are Susceptible to Environmental Distractions,"Ma, Xinbei",2024,Environment,环境变化与鲁棒性,https://arxiv.org/abs/2408.02544,evidence/1a76f8305d4baf7a5783.json
CivRealm: A Learning and Reasoning Odyssey in Civilization for Decision-Making Agents,"Qi, Siyuan",2024,Environment,具身、游戏与模拟环境,https://arxiv.org/abs/2401.10568,evidence/fe35267e3e5bf6ccce34.json
DINO-WM: World Models on Pre-trained Visual Features enable Zero-shot Planning,"Zhou, Gaoyue",2024,Environment,世界模型与模拟器,https://arxiv.org/abs/2411.04983,evidence/e9f82a363b1e1d819be9.json
DiscoveryWorld: A Virtual Environment for Developing and Evaluating Automated Scientific Discovery Agents,"Jansen, Peter",2024,Environment,具身、游戏与模拟环境,https://papers.nips.cc/paper_files/paper/2024/hash/13836f251823945316ae067350a5c366-Abstract-Datasets_and_Benchmarks_Track.html,evidence/778d0179adf885bcc5d3.json
EIA: Environmental Injection Attack on Generalist Web Agents for Privacy Leakage,"Liao, Zeyi",2024,Environment,环境变化与鲁棒性,https://arxiv.org/abs/2409.11295,evidence/100eec7625737625b576.json
EnvGen: Generating and Adapting Environments via LLMs for Training Embodied Agents,"Zala, Abhay",2024,Environment,环境生成与演化,https://arxiv.org/abs/2403.12014,evidence/5a800c0497d947ed5362.json
FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,Ruixuan Xiao,2024,Environment,交互环境与评测基准,https://aclanthology.org/2024.findings-emnlp.638/,evidence/901f6d8252684521b754.json
GameBench: Evaluating Strategic Reasoning Abilities of LLM Agents,"Costarelli, Anthony",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2406.06613,evidence/ad9d0856d59e0ce58140.json
GameTraversalBenchmark: Evaluating Planning Abilities Of Large Language Models Through Traversing 2D Game Maps,"Nasir, Muhammad Umair",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2410.07765,evidence/32cec132d7ead8d816fc.json
Is Your LLM Secretly a World Model of the Internet? Model-Based Planning for Web Agents,"Gu, Yu",2024,Environment,世界模型与模拟器,https://arxiv.org/abs/2411.06559,evidence/aa437a60391e844373ea.json
LEGENT: Open Platform for Embodied Agents,Zhili Cheng,2024,Environment,具身、游戏与模拟环境,https://aclanthology.org/2024.acl-demos.32/,evidence/31c84683d0881b90091c.json
LLMArena: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,"Chen, Junzhe",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2402.16499,evidence/3177b633d9a2c1961172.json
Leveraging Environment Interaction for Automated PDDL Translation and Planning with Large Language Models,"Mahdavi, Sadegh",2024,Environment,环境生成与演化,https://papers.nips.cc/paper_files/paper/2024/hash/44af065477781e7f8a8589b14a62c489-Abstract-Conference.html,evidence/9fb9971b2a0054dcec93.json
Mobile-Bench: An Evaluation Benchmark for LLM-based Mobile Agents,"Deng, Shihan",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2407.00993,evidence/5007fe1624a07a745cf5.json
MobileAgentBench: An Efficient and User-Friendly Benchmark for Mobile LLM Agents,"Wang, Luyuan",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2406.08184,evidence/87ec60001f476baeb853.json
NATURAL PLAN: Benchmarking LLMs on Natural Language Planning,"Zheng, Huaixiu Steven",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2406.04520,evidence/5fc788ed52a6d5dd1c85.json
On the Effects of Data Scale on UI Control Agents,"Li, Wei",2024,Environment,交互环境与评测基准,https://papers.nips.cc/paper_files/paper/2024/hash/a79f3ef3b445fd4659f44648f7ea8ffd-Abstract-Datasets_and_Benchmarks_Track.html,evidence/6de7df2cd4f3c4d8467a.json
On the Multi-turn Instruction Following for Conversational Web Agents,Yang Deng,2024,Environment,交互环境与评测基准,https://aclanthology.org/2024.acl-long.477/,evidence/8b21107a786a0a011898.json
R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,"Yuan, Tongxin",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2401.10019,evidence/be8ddbc132d6e5ab7c1f.json
SWT-Bench: Testing and Validating Real-World Bug-Fixes with Code Agents,"Mündler, Niels",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2406.12952,evidence/d74fad013fd95c9bf820.json
SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,"Yin, Sheng",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2412.13178,evidence/ae5d49622e0eb0314e0c.json
TravelPlanner: A Benchmark for Real-World Planning with Language Agents,Jian Xie,2024,Environment,交互环境与评测基准,https://proceedings.mlr.press/v235/xie24j.html,evidence/b9bdb2555228adc6f25a.json
UFO: A UI-Focused Agent for Windows OS Interaction,"Zhang, Chaoyun",2024,Agent,网页、桌面与移动智能体,https://arxiv.org/abs/2402.07939,evidence/768b770dbaf61df7b34b.json
Understanding World or Predicting Future? A Comprehensive Survey of World Models,"Ding, Jingtao",2024,Environment,世界模型与模拟器,https://arxiv.org/abs/2411.14499,evidence/6a6e8dac1ee9db42b75a.json
WebCanvas: Benchmarking Web Agents in Online Environments,"Pan, Yichen",2024,Environment,交互环境与评测基准,https://arxiv.org/abs/2406.12373,evidence/7e2fb9fdf63387a56e83.json
WebPilot: A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration,"Zhang, Yao",2024,Agent,网页、桌面与移动智能体,https://arxiv.org/abs/2408.15978,evidence/00cdfd142beaabb9bc12.json
WorkArena: How Capable are Web Agents at Solving Common Knowledge Work Tasks?,Alexandre Drouin,2024,Environment,交互环境与评测基准,https://proceedings.mlr.press/v235/drouin24a.html,evidence/96a00216579f23bb18a4.json
"WorldCoder, a Model-Based LLM Agent: Building World Models by Writing Code and Interacting with the Environment","Tang, Hao",2024,Environment,世界模型与模拟器,https://papers.nips.cc/paper_files/paper/2024/hash/820c61a0cd419163ccbd2c33b268816e-Abstract-Conference.html,evidence/438642c3a8279ce5180d.json
dZiner: Rational Inverse Design of Materials with AI Agents,"Ansari, Mehrad",2024,Agent,科学与研究智能体,https://arxiv.org/abs/2410.03963,evidence/d23b9bfdb7ca127f25fa.json
